site,date,day,tempHigh,tempLow,dewLow,dewHigh
BALASUCMD1,2016-06-29,1,82,68,55,66
BALASUCMD1,2016-06-30,2,84,65,53,67
BALASUCMD1,2016-07-01,3,88,71,66,74
BALASUCMD1,2016-07-02,4,80,70,50,70
BALASUCMD1,2016-07-03,5,74,64,54,66
BALASUCMD1,2016-07-04,6,74,68,65,73
BALASUCMD1,2016-07-05,7,91,74,70,76
BALASUCMD1,2016-07-15,8,94,76,62,70
BALASUCMD1,2016-07-16,9,93,72,66,71
BALASUCMD1,2016-07-17,10,93,71,61,72
BALASUCMD1,2016-07-18,11,95,73,66,76
BALASUCMD1,2016-07-19,12,92,70,63,73
BALASUCMD1,2016-07-20,13,89,70,59,70
BALASUCMD1,2016-07-21,14,90,71,62,70
BALASUCMD1,2016-08-16,15,97,75,72,77
BALASUCMD1,2016-08-17,16,95,72,68,74
BALASUCMD1,2016-08-18,17,92,74,67,73
BALASUCMD1,2016-08-19,18,92,74,60,72
BALASUCMD1,2016-08-20,19,91,74,62,71
BALASUCMD1,2016-08-21,20,91,74,62,76
BALASUCMD1,2016-08-22,21,85,69,56,63
BARBJERMD1,2016-06-24,1,86,71,67,72
BARBJERMD1,2016-06-25,2,85,72,57,66
BARBJERMD1,2016-06-26,3,86,66,49,64
BARBJERMD1,2016-06-27,4,87,68,62,72
BARBJERMD1,2016-06-28,5,87,69,64,75
BARBJERMD1,2016-06-29,6,82,68,55,66
BARBJERMD1,2016-06-30,7,84,65,53,67
BARBJERMD1,2016-07-12,8,87,73,62,71
BARBJERMD1,2016-07-13,9,90,75,68,76
BARBJERMD1,2016-07-14,10,98,75,68,76
BARBJERMD1,2016-07-15,11,94,76,62,70
BARBJERMD1,2016-07-16,12,93,72,66,71
BARBJERMD1,2016-07-17,13,93,71,61,72
BARBJERMD1,2016-07-18,14,95,73,66,76
BARBJERMD1,2016-08-23,15,84,67,56,63
BARBJERMD1,2016-08-24,16,86,67,60,66
BARBJERMD1,2016-08-25,17,89,71,63,77
BARBJERMD1,2016-08-26,18,95,77,65,75
BARBJERMD1,2016-08-27,19,92,77,68,74
BARBJERMD1,2016-08-28,20,90,74,59,72
BARBJERMD1,2016-08-29,21,94,72,66,72
BEALTOMMD1,2016-06-20,1,91,68,55,67
BEALTOMMD1,2016-06-21,2,91,72,61,72
BEALTOMMD1,2016-06-22,3,86,69,50,69
BEALTOMMD1,2016-06-23,4,82,70,67,71
BEALTOMMD1,2016-06-24,5,86,71,67,72
BEALTOMMD1,2016-06-25,6,85,72,57,66
BEALTOMMD1,2016-06-26,7,86,66,49,64
BEALTOMMD1,2016-07-13,8,90,75,68,76
BEALTOMMD1,2016-07-14,9,98,75,68,76
BEALTOMMD1,2016-07-15,10,94,76,62,70
BEALTOMMD1,2016-07-16,11,93,72,66,71
BEALTOMMD1,2016-07-17,12,93,71,61,72
BEALTOMMD1,2016-07-18,13,95,73,66,76
BEALTOMMD1,2016-07-19,14,92,70,63,73
BEALTOMMD1,2016-08-21,15,91,74,62,76
BEALTOMMD1,2016-08-22,16,85,69,56,63
BEALTOMMD1,2016-08-23,17,84,67,56,63
BEALTOMMD1,2016-08-24,18,86,67,60,66
BEALTOMMD1,2016-08-25,19,89,71,63,77
BEALTOMMD1,2016-08-26,20,95,77,65,75
BEALTOMMD1,2016-08-27,21,92,77,68,74
BLOCDAVMD1,2016-06-27,1,87,68,62,72
BLOCDAVMD1,2016-06-28,2,87,69,64,75
BLOCDAVMD1,2016-06-29,3,82,68,55,66
BLOCDAVMD1,2016-06-30,4,84,65,53,67
BLOCDAVMD1,2016-07-01,5,88,71,66,74
BLOCDAVMD1,2016-07-02,6,80,70,50,70
BLOCDAVMD1,2016-07-03,7,74,64,54,66
BLOCDAVMD1,2016-07-13,8,90,75,68,76
BLOCDAVMD1,2016-07-14,9,98,75,68,76
BLOCDAVMD1,2016-07-15,10,94,76,62,70
BLOCDAVMD1,2016-07-16,11,93,72,66,71
BLOCDAVMD1,2016-07-17,12,93,71,61,72
BLOCDAVMD1,2016-07-18,13,95,73,66,76
BLOCDAVMD1,2016-07-19,14,92,70,63,73
BLOCDAVMD1,2016-08-05,15,85,73,66,74
BLOCDAVMD1,2016-08-06,16,94,75,69,76
BLOCDAVMD1,2016-08-07,17,92,71,56,63
BLOCDAVMD1,2016-08-08,18,92,70,56,68
BLOCDAVMD1,2016-08-09,19,81,68,62,75
BLOCDAVMD1,2016-08-10,20,95,77,71,75
BLOCDAVMD1,2016-08-11,21,97,78,70,75
BRIGKIMMD1,2016-06-09,1,82,53,39,49
BRIGKIMMD1,2016-06-10,2,82,63,37,61
BRIGKIMMD1,2016-06-11,3,96,66,58,70
BRIGKIMMD1,2016-06-12,4,93,70,34,67
BRIGKIMMD1,2016-06-13,5,81,64,42,55
BRIGKIMMD1,2016-06-14,6,81,67,45,58
BRIGKIMMD1,2016-06-15,7,83,66,58,68
BRIGKIMMD1,2016-07-05,8,91,74,70,76
BRIGKIMMD1,2016-07-06,9,94,77,69,76
BRIGKIMMD1,2016-07-07,10,93,77,69,76
BRIGKIMMD1,2016-07-08,11,91,77,68,77
BRIGKIMMD1,2016-07-09,12,93,78,61,76
BRIGKIMMD1,2016-07-10,13,86,74,60,62
BRIGKIMMD1,2016-07-11,14,88,70,52,66
BRIGKIMMD1,2016-08-02,15,91,75,67,73
BRIGKIMMD1,2016-08-03,16,83,72,64,67
BRIGKIMMD1,2016-08-04,17,86,70,59,67
BRIGKIMMD1,2016-08-05,18,85,73,66,74
BRIGKIMMD1,2016-08-06,19,94,75,69,76
BRIGKIMMD1,2016-08-07,20,92,71,56,63
BRIGKIMMD1,2016-08-08,21,92,70,56,68
BROWANNDC1,2016-06-15,1,83,66,58,68
BROWANNDC1,2016-06-16,2,89,68,65,71
BROWANNDC1,2016-06-17,3,82,66,55,65
BROWANNDC1,2016-06-18,4,85,66,51,58
BROWANNDC1,2016-06-19,5,90,65,51,58
BROWANNDC1,2016-06-20,6,91,68,55,67
BROWANNDC1,2016-06-21,7,91,72,61,72
BROWANNDC1,2016-07-11,8,88,70,52,66
BROWANNDC1,2016-07-12,9,87,73,62,71
BROWANNDC1,2016-07-13,10,90,75,68,76
BROWANNDC1,2016-07-14,11,98,75,68,76
BROWANNDC1,2016-07-15,12,94,76,62,70
BROWANNDC1,2016-07-16,13,93,72,66,71
BROWANNDC1,2016-07-17,14,93,71,61,72
BROWANNDC1,2016-08-22,15,85,69,56,63
BROWANNDC1,2016-08-23,16,84,67,56,63
BROWANNDC1,2016-08-24,17,86,67,60,66
BROWANNDC1,2016-08-25,18,89,71,63,77
BROWANNDC1,2016-08-26,19,95,77,65,75
BROWANNDC1,2016-08-27,20,92,77,68,74
BROWANNDC1,2016-08-28,21,90,74,59,72
BROWANNMD1,2016-06-21,1,91,72,61,72
BROWANNMD1,2016-06-22,2,86,69,50,69
BROWANNMD1,2016-06-23,3,82,70,67,71
BROWANNMD1,2016-06-24,4,86,71,67,72
BROWANNMD1,2016-06-25,5,85,72,57,66
BROWANNMD1,2016-06-26,6,86,66,49,64
BROWANNMD1,2016-06-27,7,87,68,62,72
BROWANNMD1,2016-07-05,8,91,74,70,76
BROWANNMD1,2016-07-06,9,94,77,69,76
BROWANNMD1,2016-07-07,10,93,77,69,76
BROWANNMD1,2016-07-08,11,91,77,68,77
BROWANNMD1,2016-07-09,12,93,78,61,76
BROWANNMD1,2016-07-10,13,86,74,60,62
BROWANNMD1,2016-07-11,14,88,70,52,66
BROWANNMD1,2016-08-02,15,91,75,67,73
BROWANNMD1,2016-08-03,16,83,72,64,67
BROWANNMD1,2016-08-04,17,86,70,59,67
BROWANNMD1,2016-08-05,18,85,73,66,74
BROWANNMD1,2016-08-06,19,94,75,69,76
BROWANNMD1,2016-08-07,20,92,71,56,63
BROWANNMD1,2016-08-08,21,92,70,56,68
BUISNORVA1,2016-06-06,1,87,69,57,68
BUISNORVA1,2016-06-07,2,87,65,50,68
BUISNORVA1,2016-06-08,3,74,62,38,51
BUISNORVA1,2016-06-09,4,82,53,39,49
BUISNORVA1,2016-06-10,5,82,63,37,61
BUISNORVA1,2016-06-11,6,96,66,58,70
BUISNORVA1,2016-06-12,7,93,70,34,67
BUISNORVA1,2016-07-25,8,100,81,69,79
BUISNORVA1,2016-07-26,9,98,80,64,73
BUISNORVA1,2016-07-27,10,97,81,60,74
BUISNORVA1,2016-07-28,11,95,77,69,76
BUISNORVA1,2016-07-29,12,92,75,67,75
BUISNORVA1,2016-07-30,13,90,74,71,76
BUISNORVA1,2016-07-31,14,92,75,69,74
BUISNORVA1,2016-08-08,15,92,70,56,68
BUISNORVA1,2016-08-09,16,81,68,62,75
BUISNORVA1,2016-08-10,17,95,77,71,75
BUISNORVA1,2016-08-11,18,97,78,70,75
BUISNORVA1,2016-08-12,19,99,81,73,78
BUISNORVA1,2016-08-13,20,101,80,68,78
BUISNORVA1,2016-08-14,21,100,80,68,77
BURDROBVA1,2016-06-13,1,81,64,42,55
BURDROBVA1,2016-06-14,2,81,67,45,58
BURDROBVA1,2016-06-15,3,83,66,58,68
BURDROBVA1,2016-06-16,4,89,68,65,71
BURDROBVA1,2016-06-17,5,82,66,55,65
BURDROBVA1,2016-06-18,6,85,66,51,58
BURDROBVA1,2016-06-19,7,90,65,51,58
BURDROBVA1,2016-07-18,8,95,73,66,76
BURDROBVA1,2016-07-19,9,92,70,63,73
BURDROBVA1,2016-07-20,10,89,70,59,70
BURDROBVA1,2016-07-21,11,90,71,62,70
BURDROBVA1,2016-07-22,12,95,74,68,72
BURDROBVA1,2016-07-23,13,98,79,68,78
BURDROBVA1,2016-07-24,14,97,80,64,76
BURDROBVA1,2016-08-22,15,85,69,56,63
BURDROBVA1,2016-08-23,16,84,67,56,63
BURDROBVA1,2016-08-24,17,86,67,60,66
BURDROBVA1,2016-08-25,18,89,71,63,77
BURDROBVA1,2016-08-26,19,95,77,65,75
BURDROBVA1,2016-08-27,20,92,77,68,74
BURDROBVA1,2016-08-28,21,90,74,59,72
CAMPGLOMD1,2016-06-17,1,82,66,55,65
CAMPGLOMD1,2016-06-18,2,85,66,51,58
CAMPGLOMD1,2016-06-19,3,90,65,51,58
CAMPGLOMD1,2016-06-20,4,91,68,55,67
CAMPGLOMD1,2016-06-21,5,91,72,61,72
CAMPGLOMD1,2016-06-22,6,86,69,50,69
CAMPGLOMD1,2016-06-23,7,82,70,67,71
CAMPGLOMD1,2016-07-06,8,94,77,69,76
CAMPGLOMD1,2016-07-07,9,93,77,69,76
CAMPGLOMD1,2016-07-08,10,91,77,68,77
CAMPGLOMD1,2016-07-09,11,93,78,61,76
CAMPGLOMD1,2016-07-10,12,86,74,60,62
CAMPGLOMD1,2016-07-11,13,88,70,52,66
CAMPGLOMD1,2016-07-12,14,87,73,62,71
CAMPGLOMD1,2016-08-02,15,91,75,67,73
CAMPGLOMD1,2016-08-03,16,83,72,64,67
CAMPGLOMD1,2016-08-04,17,86,70,59,67
CAMPGLOMD1,2016-08-05,18,85,73,66,74
CAMPGLOMD1,2016-08-06,19,94,75,69,76
CAMPGLOMD1,2016-08-07,20,92,71,56,63
CAMPGLOMD1,2016-08-08,21,92,70,56,68
CAMPROSMD1,2016-06-20,1,91,68,55,67
CAMPROSMD1,2016-06-21,2,91,72,61,72
CAMPROSMD1,2016-06-22,3,86,69,50,69
CAMPROSMD1,2016-06-23,4,82,70,67,71
CAMPROSMD1,2016-06-24,5,86,71,67,72
CAMPROSMD1,2016-06-25,6,85,72,57,66
CAMPROSMD1,2016-06-26,7,86,66,49,64
CAMPROSMD1,2016-07-15,8,94,76,62,70
CAMPROSMD1,2016-07-16,9,93,72,66,71
CAMPROSMD1,2016-07-17,10,93,71,61,72
CAMPROSMD1,2016-07-18,11,95,73,66,76
CAMPROSMD1,2016-07-19,12,92,70,63,73
CAMPROSMD1,2016-07-20,13,89,70,59,70
CAMPROSMD1,2016-07-21,14,90,71,62,70
CAMPROSMD1,2016-08-13,15,101,81,74,78
CAMPROSMD1,2016-08-14,16,100,80,68,77
CAMPROSMD1,2016-08-15,17,100,73,69,75
CAMPROSMD1,2016-08-16,18,97,75,72,77
CAMPROSMD1,2016-08-17,19,95,72,68,74
CAMPROSMD1,2016-08-18,20,92,74,67,73
