site,visit,species,count,distance,notes,collar
site_1,1,cat,0,NA,NA,NA
site_1,2,cat,0,NA,NA,NA
site_1,3,cat,0,NA,NA,NA
site_1,4,cat,0,NA,NA,NA
site_1,4,squirrel,0,NA,NA,NA
site_1,4,dog,0,NA,NA,NA
site_1,5,cat,0,NA,NA,NA
site_1,5,squirrel,0,NA,NA,NA
site_1,5,dog,0,NA,NA,NA
site_1,6,cat,0,NA,NA,NA
site_1,6,squirrel,0,NA,NA,NA
site_1,6,dog,0,NA,NA,NA
site_2,1,cat,0,NA,NA,NA
site_2,2,cat,0,NA,NA,NA
site_2,3,cat,0,NA,NA,NA
site_2,4,cat,0,NA,NA,NA
site_2,4,squirrel,0,NA,NA,NA
site_2,4,dog,0,NA,NA,NA
site_2,5,cat,0,NA,NA,NA
site_2,5,squirrel,0,NA,NA,NA
site_2,5,dog,0,NA,NA,NA
site_2,6,cat,1,14,Jane,N
site_2,6,squirrel,0,NA,NA,NA
site_2,6,dog,0,NA,NA,NA
site_3,1,cat,0,NA,NA,NA
site_3,2,cat,0,NA,NA,NA
site_3,3,cat,0,NA,NA,NA
site_3,4,cat,0,NA,NA,NA
site_3,4,squirrel,0,NA,NA,NA
site_3,4,dog,0,NA,NA,NA
site_3,5,cat,0,NA,NA,NA
site_3,5,squirrel,0,NA,NA,NA
site_3,5,dog,0,NA,NA,NA
site_3,6,cat,0,NA,NA,NA
site_3,6,squirrel,0,NA,NA,NA
site_3,6,dog,0,NA,NA,NA
site_4,1,cat,0,NA,NA,NA
site_4,2,cat,0,NA,NA,NA
site_4,3,cat,1,13,Dan,N
site_4,4,cat,1,12,Drake,U
site_4,4,cat,1,20,Dick,U
site_4,4,squirrel,0,NA,NA,NA
site_4,4,dog,0,NA,NA,NA
site_4,5,cat,1,25,Dan,N
site_4,5,cat,1,15,Duchess,U
site_4,5,squirrel,0,NA,NA,NA
site_4,5,dog,0,NA,NA,NA
site_4,6,cat,1,20,Drake,U
site_4,6,cat,1,20,Dick,U
site_4,6,cat,1,23,Deirdre,Y
site_4,6,squirrel,0,NA,NA,NA
site_4,6,dog,1,11,NA,NA
site_5,1,cat,0,NA,NA,NA
site_5,2,cat,1,20,Katie,U
site_5,2,cat,1,20,Kristen,U
site_5,3,cat,0,NA,NA,NA
site_5,4,cat,0,NA,NA,NA
site_5,5,cat,1,22,Katie,U
site_5,5,squirrel,0,NA,NA,NA
site_5,5,dog,0,NA,NA,NA
site_5,6,cat,0,NA,NA,NA
site_5,6,squirrel,0,NA,NA,NA
site_5,6,dog,0,NA,NA,NA
site_6,1,cat,0,NA,NA,NA
site_6,2,cat,0,NA,NA,NA
site_6,3,cat,0,NA,NA,NA
site_6,4,cat,0,NA,NA,NA
site_6,5,cat,0,NA,NA,NA
site_6,5,squirrel,0,NA,NA,NA
site_6,5,dog,0,NA,NA,NA
site_6,6,cat,0,NA,NA,NA
site_6,6,squirrel,1,3,NA,NA
site_6,6,squirrel,1,8,NA,NA
site_6,6,squirrel,1,35,NA,NA
site_6,6,dog,0,NA,NA,NA
site_7,1,cat,0,NA,NA,NA
site_7,2,cat,0,NA,NA,NA
site_7,3,cat,0,NA,NA,NA
site_7,4,cat,0,NA,NA,NA
site_7,5,cat,0,NA,NA,NA
site_7,5,squirrel,0,NA,NA,NA
site_7,5,dog,0,NA,NA,NA
site_7,6,cat,0,NA,NA,NA
site_7,6,squirrel,0,NA,NA,NA
site_7,6,dog,0,NA,NA,NA
site_8,1,cat,0,NA,NA,NA
site_8,2,cat,0,NA,NA,NA
site_8,3,cat,0,NA,NA,NA
site_8,3,squirrel,1,8,NA,NA
site_8,3,dog,0,NA,NA,NA
site_8,4,cat,0,NA,NA,NA
site_8,4,squirrel,0,NA,NA,NA
site_8,4,dog,0,NA,NA,NA
site_8,5,cat,0,NA,NA,NA
site_8,5,squirrel,0,NA,NA,NA
site_8,5,dog,0,NA,NA,NA
site_8,6,cat,0,NA,NA,NA
site_8,6,squirrel,0,NA,NA,NA
site_8,6,dog,0,NA,NA,NA
site_9,1,cat,0,NA,NA,NA
site_9,2,cat,0,NA,NA,NA
site_9,3,cat,0,NA,NA,NA
site_9,4,cat,0,NA,NA,NA
site_9,4,squirrel,0,NA,NA,NA
site_9,4,dog,0,NA,NA,NA
site_9,5,cat,0,NA,NA,NA
site_9,5,squirrel,0,NA,NA,NA
site_9,5,dog,0,NA,NA,NA
site_9,6,cat,1,18,Rick,U
site_9,6,squirrel,0,NA,NA,NA
site_9,6,dog,1,10,NA,NA
site_10,1,cat,0,NA,NA,NA
site_10,2,cat,0,NA,NA,NA
site_10,3,cat,1,20,Greg,N
site_10,4,cat,0,NA,NA,NA
site_10,5,cat,0,NA,NA,NA
site_10,5,squirrel,0,NA,NA,NA
site_10,5,dog,0,NA,NA,NA
site_10,6,cat,0,NA,NA,NA
site_10,6,squirrel,0,NA,NA,NA
site_10,6,dog,0,NA,NA,NA
site_11,1,cat,0,NA,NA,NA
site_11,2,cat,0,NA,NA,NA
site_11,3,cat,0,NA,NA,NA
site_11,4,cat,0,NA,NA,NA
site_11,4,squirrel,0,NA,NA,NA
site_11,4,dog,0,NA,NA,NA
site_11,5,cat,0,NA,NA,NA
site_11,5,squirrel,0,NA,NA,NA
site_11,5,dog,0,NA,NA,NA
site_11,6,cat,0,NA,NA,NA
site_11,6,squirrel,0,NA,NA,NA
site_11,6,dog,0,NA,NA,NA
site_12,1,cat,0,NA,NA,NA
site_12,2,cat,0,NA,NA,NA
site_12,3,cat,0,NA,NA,NA
site_12,4,cat,0,NA,NA,NA
site_12,5,cat,0,NA,NA,NA
site_12,5,squirrel,1,3,NA,NA
site_12,5,dog,0,NA,NA,NA
site_12,6,cat,0,NA,NA,NA
site_12,6,squirrel,0,NA,NA,NA
site_12,6,dog,0,NA,NA,NA
site_13,1,cat,0,NA,NA,NA
site_13,2,cat,0,NA,NA,NA
site_13,3,cat,0,NA,NA,NA
site_13,4,cat,0,NA,NA,NA
site_13,4,squirrel,0,NA,NA,NA
site_13,4,dog,0,NA,NA,NA
site_13,5,cat,0,NA,NA,NA
site_13,5,squirrel,1,32,NA,NA
site_13,5,dog,0,NA,NA,NA
site_13,6,cat,0,NA,NA,NA
site_13,6,squirrel,0,NA,NA,NA
site_13,6,dog,0,NA,NA,NA
site_14,1,cat,0,NA,NA,NA
site_14,2,cat,0,NA,NA,NA
site_14,3,cat,1,20,Mary,Y
site_14,4,cat,0,NA,NA,NA
site_14,5,cat,0,NA,NA,NA
site_14,5,squirrel,0,NA,NA,NA
site_14,5,dog,0,NA,NA,NA
site_14,6,cat,0,NA,NA,NA
site_14,6,squirrel,0,NA,NA,NA
site_14,6,dog,0,NA,NA,NA
site_15,1,cat,0,NA,NA,NA
site_15,2,cat,0,NA,NA,NA
site_15,3,cat,0,NA,NA,NA
site_15,4,cat,0,NA,NA,NA
site_15,5,cat,1,28,Stan,N
site_15,5,squirrel,0,NA,NA,NA
site_15,5,dog,0,NA,NA,NA
site_15,6,cat,0,NA,NA,NA
site_15,6,squirrel,1,8,NA,NA
site_15,6,dog,0,NA,NA,NA
site_16,1,cat,1,30,Frank,U
site_16,2,cat,0,NA,NA,NA
site_16,3,cat,0,NA,NA,NA
site_16,3,squirrel,0,NA,NA,NA
site_16,3,dog,0,NA,NA,NA
site_16,4,cat,0,NA,NA,NA
site_16,4,squirrel,0,NA,NA,NA
site_16,4,dog,0,NA,NA,NA
site_16,5,cat,0,NA,NA,NA
site_16,5,squirrel,0,NA,NA,NA
site_16,5,dog,0,NA,NA,NA
site_16,6,cat,0,NA,NA,NA
site_16,6,squirrel,1,6,NA,NA
site_16,6,squirrel,1,8,NA,NA
site_16,6,dog,1,21,NA,NA
site_16,6,dog,1,21,NA,NA
site_16,6,dog,1,8,NA,NA
site_17,1,cat,0,NA,NA,NA
site_17,2,cat,0,NA,NA,NA
site_17,3,cat,0,NA,NA,NA
site_17,4,cat,0,NA,NA,NA
site_17,5,cat,0,NA,NA,NA
site_17,5,squirrel,1,3,NA,NA
site_17,5,dog,0,NA,NA,NA
site_17,6,cat,0,NA,NA,NA
site_17,6,squirrel,1,7,NA,NA
site_17,6,squirrel,1,17,NA,NA
site_17,6,squirrel,1,30,NA,NA
site_17,6,dog,0,NA,NA,NA
site_18,1,cat,0,NA,NA,NA
site_18,2,cat,0,NA,NA,NA
site_18,3,cat,0,NA,NA,NA
site_18,4,cat,0,NA,NA,NA
site_18,5,cat,0,NA,NA,NA
site_18,5,squirrel,0,NA,NA,NA
site_18,5,dog,1,30,NA,NA
site_18,6,cat,1,40,Eric,U
site_18,6,squirrel,0,NA,NA,NA
site_18,6,dog,0,NA,NA,NA
site_19,1,cat,0,NA,NA,NA
site_19,2,cat,0,NA,NA,NA
site_19,3,cat,0,NA,NA,NA
site_19,3,squirrel,0,NA,NA,NA
site_19,3,dog,0,NA,NA,NA
site_19,4,cat,0,NA,NA,NA
site_19,4,squirrel,5,NA,NA,NA
site_19,4,dog,0,NA,NA,NA
site_19,5,cat,0,NA,NA,NA
site_19,5,squirrel,0,NA,NA,NA
site_19,5,dog,0,NA,NA,NA
site_19,6,cat,0,NA,NA,NA
site_19,6,squirrel,0,NA,NA,NA
site_19,6,dog,0,NA,NA,NA
site_20,1,cat,0,NA,NA,NA
site_20,2,cat,0,NA,NA,NA
site_20,3,cat,0,NA,NA,NA
site_20,3,squirrel,0,NA,NA,NA
site_20,3,dog,0,NA,NA,NA
site_20,4,cat,0,NA,NA,NA
site_20,4,squirrel,1,5,NA,NA
site_20,4,dog,0,NA,NA,NA
site_20,5,cat,0,NA,NA,NA
site_20,5,squirrel,0,NA,NA,NA
site_20,5,dog,0,NA,NA,NA
site_20,6,cat,0,NA,NA,NA
site_20,6,squirrel,0,NA,NA,NA
site_20,6,dog,1,20,NA,NA
site_21,1,cat,0,NA,NA,NA
site_21,2,cat,0,NA,NA,NA
site_21,3,cat,0,NA,NA,NA
site_21,3,squirrel,1,17,NA,NA
site_21,3,dog,0,NA,NA,NA
site_21,4,cat,0,NA,NA,NA
site_21,4,squirrel,0,NA,NA,NA
site_21,4,dog,0,NA,NA,NA
site_21,5,cat,0,NA,NA,NA
site_21,5,squirrel,0,NA,NA,NA
site_21,5,dog,0,NA,NA,NA
